Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,# Responses,Average Score,Out Of ,Standard Deviation ,Discrimination Index ,Point Biserial
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the most attractive alternative that is given up when an economic decision is reached,production possibilities graph,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the most attractive alternative that is given up when an economic decision is reached,trade-offs,1,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the most attractive alternative that is given up when an economic decision is reached,shortage,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the most attractive alternative that is given up when an economic decision is reached,scarcity,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the most attractive alternative that is given up when an economic decision is reached,growth,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the most attractive alternative that is given up when an economic decision is reached,opportunity cost,8,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the most attractive alternative that is given up when an economic decision is reached,underutilization,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the most attractive alternative that is given up when an economic decision is reached,efficiency,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the most attractive alternative that is given up when an economic decision is reached,services,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the line that shows different production possibilities for an economy,factors of production,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the line that shows different production possibilities for an economy,production possibilities frontier,5,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the line that shows different production possibilities for an economy,production possibilities graph,4,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the line that shows different production possibilities for an economy,trade-offs,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the line that shows different production possibilities for an economy,shortage,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the line that shows different production possibilities for an economy,scarcity,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the line that shows different production possibilities for an economy,growth,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the line that shows different production possibilities for an economy,opportunity cost,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the line that shows different production possibilities for an economy,underutilization,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the line that shows different production possibilities for an economy,efficiency,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the line that shows different production possibilities for an economy,services,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,all the possible alternatives that are rejected when a choice is made,factors of production,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,all the possible alternatives that are rejected when a choice is made,production possibilities frontier,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,all the possible alternatives that are rejected when a choice is made,production possibilities graph,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,all the possible alternatives that are rejected when a choice is made,trade-offs,8,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,all the possible alternatives that are rejected when a choice is made,shortage,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,all the possible alternatives that are rejected when a choice is made,scarcity,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,all the possible alternatives that are rejected when a choice is made,growth,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,all the possible alternatives that are rejected when a choice is made,opportunity cost,1,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,all the possible alternatives that are rejected when a choice is made,underutilization,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,all the possible alternatives that are rejected when a choice is made,efficiency,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,all the possible alternatives that are rejected when a choice is made,services,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,representation of the possible ways an economy could use resources,factors of production,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,representation of the possible ways an economy could use resources,production possibilities frontier,4,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,representation of the possible ways an economy could use resources,production possibilities graph,5,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,representation of the possible ways an economy could use resources,trade-offs,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,representation of the possible ways an economy could use resources,shortage,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,representation of the possible ways an economy could use resources,scarcity,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,representation of the possible ways an economy could use resources,growth,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,representation of the possible ways an economy could use resources,opportunity cost,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,representation of the possible ways an economy could use resources,underutilization,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,representation of the possible ways an economy could use resources,efficiency,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,representation of the possible ways an economy could use resources,services,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the basic economic condition of all goods and services,factors of production,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the basic economic condition of all goods and services,production possibilities frontier,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the basic economic condition of all goods and services,production possibilities graph,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the basic economic condition of all goods and services,trade-offs,1,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the basic economic condition of all goods and services,shortage,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the basic economic condition of all goods and services,scarcity,7,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the basic economic condition of all goods and services,growth,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the basic economic condition of all goods and services,opportunity cost,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the basic economic condition of all goods and services,underutilization,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the basic economic condition of all goods and services,efficiency,0,6.44,8,20.51 %,30.00 %,n/a
,1,MAT,',Identifying Key TermsMatch each term with the correct statement below.,False,1,the basic economic condition of all goods and services,services,1,6.44,8,20.51 %,30.00 %,n/a
